exp_name,num_frames,num_dct,lr,batch_size,lstm_layers,lstm_hidden,spatial,spectral,metrics,best_epoch,val_loss,val_acc,val_recall,val_auc
aligned_spatial_spectral_f30_dct2048,30,2048,0.0001,64,1,256,1,1,0,13,0.4987495252821181,0.7666666507720947,0.7699999809265137,0.8623555302619934
aligned_spatial_spectral_f30_dct4096,30,4096,0.0001,64,1,256,1,1,0,27,0.6002465947469076,0.7866666913032532,0.8066666722297668,0.8666443824768066
aligned_spatial_spectral_f40_dct256,40,256,0.0001,64,1,256,1,1,0,68,0.8737845314873589,0.8111110925674438,0.8399999737739563,0.8818333148956299
aligned_spatial_spectral_f40_dct512,40,512,0.0001,64,1,256,1,1,0,38,0.7269123925103081,0.804444432258606,0.8366666436195374,0.8779000043869019
aligned_spatial_spectral_f40_dct1024,40,1024,0.0001,64,1,256,1,1,0,40,0.8780150349934895,0.8022222518920898,0.8766666650772095,0.8705999851226807
aligned_spatial_spectral_f40_dct2048,40,2048,0.0001,64,1,256,1,1,0,24,0.5469189961751302,0.7644444704055786,0.7133333086967468,0.8727555274963379
aligned_spatial_spectral_f40_dct4096,40,4096,0.0001,64,1,256,1,1,0,29,0.6236790974934896,0.8133333325386047,0.8433333039283752,0.870877742767334
aligned_spatial_spectral_f50_dct256,50,256,0.0001,64,1,256,1,1,0,48,0.6583354738023546,0.7933333516120911,0.8033333420753479,0.8763777613639832
aligned_spatial_spectral_f50_dct512,50,512,0.0001,64,1,256,1,1,0,45,0.7541259172227648,0.8199999928474426,0.8899999856948853,0.8902888298034668
aligned_spatial_spectral_f50_dct1024,50,1024,0.0001,64,1,256,1,1,0,31,0.7157051934136285,0.7866666913032532,0.8133333325386047,0.8694444298744202
aligned_spatial_spectral_f50_dct2048,50,2048,0.0001,64,1,256,1,1,0,36,0.7869520568847657,0.7822222113609314,0.8700000047683716,0.8551778197288513
aligned_spatial_spectral_f50_dct4096,50,4096,0.0001,64,1,256,1,1,0,25,0.7040371661716037,0.7933333516120911,0.8566666841506958,0.8586999773979187
aligned_spatial_spectral_f60_dct256,60,256,0.0001,64,1,256,1,1,0,65,0.6960515297783746,0.8177777528762817,0.8199999928474426,0.8870777487754822
